id,gold_answer,model_extracted,question
400,"['5', '3', '2', '0', '1', '4', '5', '1', '4', '0', '3', '2']","['5, 3, 2, 0, 1, 4', '5, 1, 4, 0, 3, 2']","Use the table of values for the functions $p(x)$ and $q(x)$ below to complete the tables for the composite functions defined in parts
(a) and (b):
$\begin{array}{ccccccc}\hline x & 0 & 1 & 2 & 3 & 4 & 5 \\ \hline p(x) & 4 & 2 & 3 & 5 & 0 & 1 \\ \hline q(x) & 3 & 2 & 1 & 4 & 5 & 0 \\ \hline \end{array}$
(a) Complete the table of values for the composite function $r(x)=p(q(x))$ at $x=0, 1, 2, 3, 4, 5$
$\begin{array}{ccccccc}\hline x & 0 & 1 & 2 & 3 & 4 & 5 \\ \hline r(x) & [ANS] & [ANS] & [ANS] & [ANS] & [ANS] & [ANS] \\ \hline \end{array}$
(b) Complete the table of values for the composite function $s(x)=q(p(x))$ at $x=0, 1, 2, 3, 4, 5$.
$\begin{array}{ccccccc}\hline x & 0 & 1 & 2 & 3 & 4 & 5 \\ \hline s(x) & [ANS] & [ANS] & [ANS] & [ANS] & [ANS] & [ANS] \\ \hline \end{array}$"
401,['CD'],"['C, D']",Which of the following changes the analysis of variance results? [ANS] A. the order of the samples is changed  B. the same constant is added to every one of the sample values  C. the same constant is added to each value in one of the samples  D. each value in one of the samples is multiplied by the same constant  E. each of the sample values is multiplied by the same constant  F. each of the sample values is converted to a different scale
409,"['(2.35619, 5.49779)']","['\\dfrac{3\\pi}{4}, \\dfrac{7\\pi}{4}']","Find all solutions to $ \tan(\theta)=-1$ in the interval $0 \leq \theta \leq 2\pi$. If there is more than one answer, enter your answers as a comma separated list. Your answers should be exact values (given as fractions, not decimal approximations). $\theta$=[ANS]"
410,"['x = -1/2', '(-1/2,1/4)']","['-\\dfrac{1}{2}', '\\left(-\\dfrac{1}{2}, \\dfrac{1}{4}\\right)']","Find the axis of symmetry and vertex of the quadratic function ${y}={3x^{2}+3x+1}$. Use fractions in your answers.
Axis of symmetry: [ANS]
Vertex: [ANS]"
414,"['23', '0.333333333333333', '0.212207']","['23, \\frac{1}{3}, \\frac{2}{3\\pi}']","For the curve
$y=23 \cos(6 \pi x-4)$ determine each of the following:
Amplitude=[ANS]
Period=[ANS]
Phase shift=[ANS] Note: Use a negative for a shift to the left. Note: Use a negative for a shift to the left."
416,"['1481.6', '1462.38100377766', '19.2189962223406', '0.987028215292697', '98.7028215292697']","['1481.6', '1462.03', '19.57', '0.987', '98.7\\%']","A study was conducted to detemine whether a the final grade of a student in an introductory psychology course is linearly related to his or her performance on the verbal ability test administered before college entrance. The verbal scores and final grades for $10$ students are shown in the table below.
$\begin{array}{ccc}\hline Student & Verbal Score x & Final Grade y \\ \hline 1 & 67 & 81 \\ \hline 2 & 59 & 72 \\ \hline 3 & 41 & 47 \\ \hline 4 & 56 & 68 \\ \hline 5 & 45 & 54 \\ \hline 6 & 61 & 71 \\ \hline 7 & 53 & 62 \\ \hline 8 & 47 & 55 \\ \hline 9 & 53 & 60 \\ \hline 10 & 33 & 38 \\ \hline \end{array}$
Find the following: a) Compute the value of SST (Total Sum of Squares) answer: [ANS]
(b) Compute the value of SSR (Regression Sum of Squares) answer: [ANS]
(c) Compute the value of SSE (Error Sum of Squares) answer: [ANS]
(d) The coefficient of determination is answer: [ANS]
(e) What percent of variation in the observed values of the response variable is explained by the regression? answer: [ANS]"
421,"['(3, -13)']","['3, -13']","Solve the equation $(x+5)^2+5=69$. If there is more than one correct answer, enter your answers as a comma separated list.
$x$=[ANS]"
422,"['x + y = 43', '5.07 * x + 2.95 * y = 186.21', '28']","['x + y = 43', '5.07x + 2.95y = 186.21', '28']","One day, a deli sold a total of 43 hamburgers and hot dogs. The revenue from these sales was \$186.21. The hamburgers were \$5.07 each and the hot dogs cost \$2.95 each. a) Write a mathematical expression for the number of burgers, $x$, and the number of hot dogs, $y$, sold that day. Answer: [ANS]
b) Write a mathematical expression for the amount of revenue from this day's sales. Use $x$ for the number of burgers and $y$ for the number of hot dogs. Answer: [ANS]
c) How many burgers did the store sell that day? Answer: [ANS]"
424,['44/7'],"['6\\,\\dfrac{2}{7}']",Change the improper fraction ${{\textstyle\frac{44}{7}}}$ into a mixed number. [ANS]
426,"['6', '6']","['6', '6']","Rationalize the denominator of expression \frac{1}{\sqrt{6}} i.e., write it in the form of \frac{\sqrt{a}}{b}. Your answer for $a$ is: [ANS]
Your answer for $b$ is: [ANS]"
432,"['log10(W/w)', '10^(8.8-7.1)']","['\\log_{10}\\left(\\dfrac{W}{w}\\right)', '50.12']","The magnitude of an earthquake is measured relative to the strength of a ""standard"" earthquake, whose seismic waves are of size $W_0$. The magnitude, $M$, of an earthquake with seismic waves of size $W$ is defined to be $ M=\log_{10} \left(\frac{W}{W_0} \right)$. The value $M$ is called the Richter scale rating of the strength of the earthquake.
(a) Let $M$ and $m$ represent the magnitude of two earthquakes whose seismic waves are of sizes $W$ and $w$, respectively. Using properties of logarithms, find a simplified formula for the difference $M-m$, in terms of $W$ and $w$. $M-m=$ [ANS] (Enter log10 log10 or logten for the base 10 logarithm.)
(b) The 1989 earthquake in California had a rating of 7.1 on the Richter scale. How many times larger were the seismic waves in the March 2005 earthquake off the coast of Sumatra, which measured 8.8 on the Richter scale? [ANS]"
435,['518.28752114221'],['518'],The captain of a ship at sea sights a lighthouse which is $220$ feet tall. The captain measures the angle of elevation to the top of the lighthouse to be $23 ^\circ$. How far is the ship from the base of the lighthouse? [ANS] feet
440,"['(0.314159, 0.942478, 1.5708, 2.19911, 2.82743, 3.45575, 4.08407, 4.71239, 5.34071, 5.96903)']","['\\frac{\\pi}{10}, \\frac{3\\pi}{10}, \\frac{\\pi}{2}, \\frac{7\\pi}{10}, \\frac{9\\pi}{10}, \\frac{11\\pi}{10}, \\frac{13\\pi}{10}, \\frac{3\\pi}{2}, \\frac{17\\pi}{10}, \\frac{19\\pi}{10}']",Solve for $0\leq \theta<2\pi$: \cos 4 \theta+\cos 6 \theta=0. Separate your answers with commas. $\theta=$ [ANS]
445,"['8.90117918517108', '22.6980069221863']","['8.90', '22.69']",A circular sector has radius $r=5.1$ and central angle $\theta=100^\circ$. Determine: Arclength=[ANS]. Area=[ANS].
446,"['(80, -160, 320)']","['80, -160, 320']","Find the next three numbers in the pattern:
$5,-10,20,-40,$ [ANS]
(Separate your answers by commas.)"
447,"['g(x+1)', 'g(x)+4']","['g(x + 1)', 'g(x) + 4']","The graph of $g(x)$ contains the point $(-3,6)$. Write a formula for a translation of $g$ whose graph contains the point:
(a) (-4, 6) $y=$ [ANS]
(b) (-3, 10) $y=$ [ANS]
(Note: Your answers should be an equation which is entered in function notation, meaning you should be entering a formula of the form $y=g(x-215)+45$.)"
448,"['(11.5678, 0.432236)']","['6+\\sqrt{31},6-\\sqrt{31}']","Solve $r^2-12 r+5=0$ by completing the square. If there is more than one correct answer, enter your answers as a comma separated list. If there are no answers, enter NONE.
$r=$ [ANS]"
450,"['h(x)', 'f(x)', '1/2*3^x', 'g(x)', '-2*x^3']","['h, f, \\frac{3^x}{2}, g, -2x^3']","The table below gives approximate values for three functions, $f$, $g$, and $h$. One is exponential, one is trigonometric, and one is a power function.
$\begin{array}{cccccc}\hline x &-2 &-1 & 0 & 1 & 2 \\ \hline f(x) & 0.056 & 0.167 & 0.5 & 1.5 & 4.5 \\ \hline g(x) & 16 & 2 & 0 &-2 &-16 \\ \hline h(x) & 9 & 8 & 9 & 10 & 9 \\ \hline \end{array}$
(a) Which function is the trigonometric function? [ANS] (b) Which function is the exponential function? [ANS] Find a formula for the exponential function $y=$ [ANS]
(c) Which function is the power function? [ANS] Find a formula for the power function $y=$ [ANS]"
451,"['55.3333333333333', '52.6666666666667', '50', '47.3333333333333', '44.6666666666667']","['55.33333, 52.66667, 50.00000, 47.33333, 44.66667']","Insert 5 arithmetic means between 58 and 42. First mean=[ANS]
Second mean=[ANS]
Third mean=[ANS]
Fourth mean=[ANS]
Fifth mean=[ANS]
Note: Your answers must be in decimal form, given to at least 5 places."
455,"['598402', '926', '2026']","['602222', '580', '2027']","On November 27, 1993, the New York Times reported that wildlife biologists have found a direct link between the increase in the human population in Florida and the decline of the local black bear population. From 1953 to 1993, the human population increased, on average, at a rate of 8\% per year, while the black bear population decreased at a rate of 6\% per year. In 1953 the black bear population was 11,000.
(a) The 1993 human population of Florida was 13 million. What was the human population in 1953? [ANS] people (Round to nearest whole person. Do not include commas in your answer.)
(b) Find the black bear population for 1993. [ANS] bears (Round to nearest whole bear. Do not include commas in your answer.)
(c) Had this trend continued, when would the black bear population have numbered less than 120? In the year [ANS]"
457,['85.9436692696235'],['85.9437'],Convert 1.5 in radians to degrees: [ANS].
459,"['-30.805227865014', '-0.194772134986033', '-0.122144504490262', '49.1221445044903', 'root', 'root', 'extraneous', 'root']","['\\frac{-31 - \\sqrt{937}}{2}, \\frac{-31 + \\sqrt{937}}{2}, \\frac{49 - 5\\sqrt{97}}{2}, \\frac{49 + 5\\sqrt{97}}{2}']","Solve the following equation for $x$: x\ |\ x-9 |=40x+6
List the four possible roots in increasing order. Below each possible root, enter ROOT if it is a root or EXTRANEOUS if it is an extraneous root. [ANS] $<$ [ANS] $<$ [ANS] $<$ [ANS] [ANS], [ANS], [ANS], [ANS]"
466,['VOTING YEARS AFTER 2012'],['Voting years after 2012'],"For a certain county, the percentage, $P$, of voters who used electronic voting systems, such as optical scans, in national elections can be modeled by the formula P=3x+20.9, where $x$ is the number of years after 2001. In which years will more than 53.9\% of the county's voters use electronic systems? Note: Enter your answer as, Voting years after yyyy--do not put a period at the end of the phrase. Answer: [ANS]"
468,['111.111'],['112'],A car rental company offers the following two plans for renting a car: Plan A: 30 dollars per day and 18 cents per mile Plan B: 50 dollars per day with free unlimited mileage Q: How many miles must one drive in order to justify choosing Plan B? A: One must drive more than [ANS] miles to justify choosing Plan B.
469,"['(-infinity,60]', '60', '[0,60]']","['60', '[0, 60]']","You are riding in a taxi and can only pay with cash. You have to pay a flat fee of ${\$35}$, and then pay ${\$3.10}$ per mile. You have a total of ${\$221}$ in your pocket. Let $x$ be the number of miles the taxi will drive you. You want to know how many miles you can afford. Write an inequality to represent this situation in terms of how many miles you can afford: Your inequality has three parts, a left side, a right side, and a comparison operator in the middle: $<$, $>$, $\leq$, $\geq$, $=$, or $\neq$. Enter these as <, >, <=, >=,=, and!=. [ANS] [ANS] [ANS]
Solve this inequality. At most how many miles can you afford?
You can afford at most [ANS] miles. Use interval notation to express the number of miles you can afford. [ANS]"
470,['40*3**(n-1)'],['40 \\times 3^{n - 1}'],"The cost of a parking ticket at NAU is \$40 for the first offense, but the cost triples for each additional offense. Write a formula for the cost $C$ as a function of the number of tickets $n$. Remember to use the variable "" $n$ "" in your answer. $\ C$=[ANS]"
475,"['-2.26939', '2.31461', '3.15118', '3.67596', '0.930124', '5.60856', '12']","['-2.652', '3.068', '-5.160', '3.561', '0.597', '14.762', '12']","This is a question on interpretation of regression equations which have categorical explanatory variables where slopes on non-categorical variables do not depend on the category. This model assumes that hyperplanes are parallel for different categories, and the regression coefficients for the binary dummy variables can be used to determine distances between hyperplanes for different categories.
For your subset of the cereal data set, the response variable is: calories=c(140, 160, 70, 110, 110, 100, 120, 110, 100, 90, 110, 120, 90, 110, 100, 70, 100, 110, 50, 100, 100, 110, 110, 110, 150, 90, 110, 110, 120, 100, 110, 90, 120, 90, 120, 90, 90, 150, 140, 110, 110, 120, 80)
The explanatory variables are: (i) protein=c(3, 3, 4, 2, 2, 3, 3, 3, 2, 3, 2, 3, 3, 1, 3, 4, 3, 6, 4, 2, 3, 2, 1, 1, 4, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 4, 3, 2, 1, 2, 2) (ii) fat=c(1, 2, 1, 0, 1, 1, 1, 3, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 3, 2, 0, 0, 1, 0) (iii) fiber=c(2, 3, 10, 1, 1, 3, 6, 4, 0, 3, 1, 5, 5, 1, 1, 9, 3, 1, 14, 1, 3, 0, 0, 0, 3, 4, 3, 1, 5, 1, 1, 3, 5, 2, 3, 4, 3, 3, 3, 0, 0, 0, 3) (iv) carbo=c(20, 17, 5, 21, 11, 15, 11, 10, 11, 18, 9, 12, 13, 14, 20, 7, 14, 16, 8, 21, 17, 22, 13, 14, 16, 15, 17, 11, 14, 18, 17, 20, 14, 15, 13, 19, 15, 16, 21, 22, 23, 15, 16) (v) sugars=c(9, 13, 6, 3, 13, 5, 14, 7, 15, 2, 15, 10, 5, 11, 3, 5, 7, 3, 0, 2, 3, 3, 12, 11, 11, 6, 3, 14, 12, 5, 6, 0, 12, 6, 4, 0, 5, 11, 7, 3, 2, 9, 0) (vi) mfr=c('K', 'K', 'N', 'K', 'K', 'P', 'P', 'K', 'P', 'K', 'K', 'P', 'P', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'R', 'K', 'P', 'P', 'R', 'R', 'P', 'K', 'K', 'R', 'K', 'N', 'K', 'K', 'P', 'N', 'N', 'R', 'K', 'R', 'R', 'K', 'N')
You are to fit a multiple regression model with the response variable 'calories' and 6 explanatory variables protein, fat, fiber, carbo, sugars, mfr. After you have copied the above R vectors into your R session, you can get a dataframe with
cereal=data.frame(cbind(calories,protein,fat,fiber,carbo,sugars)) cereal\$ mfr=mfr
Please use 3 decimal places for the answers below which are not integer-valued.
For the regression being requested, you should find the most or all of the coefficients for protein,fat,fiber,carbo,sugars to be statistically significant. Some of the manufacturers might be significantly different from others but not all pairs of manufacturers are significantly different from each other.
To answer the parts
(a) and (b) below, two separate regressions could be done (with 2 different manufactors as the baseline categories). If you want to challenge yourself to answer them both based on one application of lm(), you need to use the cov.unscaled component of the summary of an lm object.
Part a) The estimate of the signed distance of the hyperplane for manufacturer K relative to P is [ANS] and its SE is [ANS]
Part b) The estimate of the signed distance of the hyperplane for manufacturer N relative to R is [ANS] and its SE is [ANS]
Part c) What is the adjusted $R^2$? [ANS]
Part d) What is the residual SD (residual SE in R)? [ANS]
Part e) If interaction of mfr and sugars (mfr:sugars) were added to the lm statement, how many betas would be in the regression equation? [ANS]"
